country,sigma0,f0,k0,rho0,k_eff0,xconst2000,lambda0,pred,pred_year,row_2000,row_2024,libdem_2000,libdem_2024,polity_2000,polity_last,polity_last_yr,PO1,PO1_year,PO1_p1,PO1_p1_year,PO1_p5,PO2,PO2_year,PO5,PO5_year,PO3,PO3_year
Venezuela,0.573,0.898,0.6666666666666666,0.2993333333333334,2.4725954009725535,5.0,0.326953101158142,1,2001.0,2.0,1.0,0.305,0.049,7.0,-3.0,2018,1,2002.0,1,2002.0,1,1,2005.0,1,2004.0,1,2009.0
Türkiye,0.592,0.503,1.0,0.0,10.0,7.0,0.4858107581734657,1,2019.0,2.0,1.0,0.434,0.117,7.0,-4.0,2018,1,2013.0,1,2013.0,1,1,2013.0,1,2013.0,1,2014.0
Hungary,0.848,0.276,1.0,0.0,10.0,7.0,0.6665011882781983,0,,3.0,1.0,0.752,0.318,10.0,10.0,2018,1,2010.0,1,2010.0,1,1,2011.0,1,2013.0,0,
Poland,0.878,0.082,1.0,0.0,10.0,7.0,0.6266626238822938,0,,3.0,2.0,0.804,0.616,9.0,10.0,2018,1,2016.0,1,2016.0,1,1,2016.0,1,2016.0,0,
Zimbabwe,0.283,0.784,0.3333333333333333,0.5226666666666667,1.5018021625951141,3.0,0.22361831665039,1,2003.0,1.0,1.0,0.185,0.156,-3.0,4.0,2018,0,,0,,0,0,,0,,0,
Syria,0.151,0.904,0.3333333333333333,0.6026666666666668,1.385297377170299,3.0,0.398788869380951,1,2001.0,1.0,0.0,0.052,0.054,-6.0,-9.0,2018,1,2013.0,1,2013.0,1,0,,1,2012.0,1,2012.0
Libya,0.072,0.862,0.0,0.862,0.0,1.0,0.3004400968551636,1,2001.0,0.0,0.0,0.046,0.106,-7.0,-77.0,2018,0,,0,,0,0,,0,,1,2011.0
Yemen,0.264,0.886,0.16666666666666666,0.7383333333333334,1.1169024571854058,2.0,0.2085516691207879,1,2001.0,1.0,0.0,0.134,0.047,-2.0,-77.0,2018,1,2016.0,1,2016.0,1,0,,1,2015.0,1,2014.0
Tunisia,0.189,0.873,0.3333333333333333,0.5820000000000001,1.4136273678258409,3.0,0.4439074456691741,1,2001.0,1.0,1.0,0.095,0.258,-3.0,7.0,2018,0,,0,,0,0,,0,,1,2011.0
Egypt,0.216,0.832,0.3333333333333333,0.5546666666666668,1.4529252227818672,3.0,0.4896834604442119,1,2001.0,1.0,1.0,0.157,0.129,-6.0,-4.0,2018,0,,1,2013.0,0,0,,1,2013.0,0,
Ukraine,0.384,0.863,0.6666666666666666,0.2876666666666667,2.5347471589708928,5.0,0.2812559843063359,1,2001.0,1.0,1.0,0.228,0.233,6.0,4.0,2018,0,,0,,0,0,,0,,0,
Germany,0.895,0.011,1.0,0.0,10.0,7.0,0.82188377380371,0,,3.0,3.0,0.856,0.792,10.0,10.0,2018,0,,0,,0,0,,0,,0,
Canada,0.843,0.035,1.0,0.0,10.0,7.0,0.833097219467164,0,,3.0,2.0,0.766,0.744,10.0,10.0,2018,1,2022.0,1,2020.0,0,0,,0,,0,
Australia,0.883,0.034,1.0,0.0,10.0,7.0,0.844413375854492,0,,3.0,3.0,0.84,0.808,10.0,10.0,2018,0,,0,,0,0,,0,,0,
