D,p_obs,ratio,expected_width,predicted_p
2,0.3242,0.8104999999999999,1.5957691216057308,0.28284271247461906
3,0.277,0.6925,2.3936536824085963,0.2309401076758503
5,0.2203,0.55075,3.989422804014327,0.17888543819998318
10,0.1581,0.39524999999999993,7.978845608028654,0.1264911064067352
20,0.1091,0.27275,15.957691216057308,0.08944271909999159
50,0.0704,0.176,39.89422804014327,0.05656854249492381
100,0.0505,0.12625,79.78845608028654,0.04
256,0.0302,0.0755,204.25844756553354,0.025
512,0.0228,0.057,408.5168951310671,0.01767766952966369
1024,0.0158,0.0395,817.0337902621342,0.0125
